## Name:ideal3_shmip
## Icon:0
# Points Count Value
5706 1.000000
# X pos Y pos
265.044174 -321.635158
265.044174 321.635158
266.044341 -321.935765
266.044341 321.935765
267.044507 -322.234748
267.044507 322.234748
268.044674 -322.533267
268.044674 322.533267
269.044841 -322.831271
269.044841 322.831271
270.045008 -323.127028
270.045008 323.127028
271.045174 -323.422328
271.045174 323.422328
272.045341 -323.717173
272.045341 323.717173
273.045508 -324.010409
273.045508 324.010409
274.045674 -324.302540
274.045674 324.302540
275.045841 -324.594224
275.045841 324.594224
276.046008 -324.885091
276.046008 324.885091
277.046174 -325.174100
277.046174 325.174100
278.046341 -325.462671
278.046341 325.462671
279.046508 -325.750804
279.046508 325.750804
280.046674 -326.037200
280.046674 326.037200
281.046841 -326.322705
281.046841 326.322705
282.047008 -326.607780
282.047008 326.607780
283.047175 -326.892027
283.047175 326.892027
284.047341 -327.174512
284.047341 327.174512
285.047508 -327.456576
285.047508 327.456576
286.047675 -327.738218
286.047675 327.738218
287.047841 -328.018275
287.047841 328.018275
288.048008 -328.297372
288.048008 328.297372
289.048175 -328.576055
289.048175 328.576055
290.048341 -328.854171
290.048341 328.854171
291.048508 -329.130345
291.048508 329.130345
292.048675 -329.406113
292.048675 329.406113
293.048841 -329.681476
293.048841 329.681476
294.049008 -329.955669
294.049008 329.955669
295.049175 -330.228565
295.049175 330.228565
296.049342 -330.501063
296.049342 330.501063
297.049508 -330.773164
297.049508 330.773164
298.049675 -331.043578
298.049675 331.043578
299.049842 -331.313254
299.049842 331.313254
300.050008 -331.582539
300.050008 331.582539
301.050175 -331.851317
301.050175 331.851317
302.050342 -332.118211
302.050342 332.118211
303.050508 -332.384722
303.050508 332.384722
304.050675 -332.650850
304.050675 332.650850
305.050842 -332.916095
305.050842 332.916095
306.051009 -333.179872
306.051009 333.179872
307.051175 -333.443273
307.051175 333.443273
308.051342 -333.706299
308.051342 333.706299
309.051509 -333.968145
309.051509 333.968145
310.051675 -334.228858
310.051675 334.228858
311.051842 -334.489202
311.051842 334.489202
312.052009 -334.749180
312.052009 334.749180
313.052175 -335.007755
313.052175 335.007755
314.052342 -335.265457
314.052342 335.265457
315.052509 -335.522798
315.052509 335.522798
316.052675 -335.779779
316.052675 335.779779
317.052842 -336.035209
317.052842 336.035209
318.053009 -336.289952
318.053009 336.289952
319.053176 -336.544340
319.053176 336.544340
320.053342 -336.798375
320.053342 336.798375
321.053509 -337.050784
321.053509 337.050784
322.053676 -337.302616
322.053676 337.302616
323.053842 -337.554101
323.053842 337.554101
324.054009 -337.805241
324.054009 337.805241
325.054176 -338.054747
325.054176 338.054747
326.054342 -338.303718
326.054342 338.303718
327.054509 -338.552350
327.054509 338.552350
328.054676 -338.800642
328.054676 338.800642
329.054842 -339.047360
329.054842 339.047360
330.055009 -339.293519
330.055009 339.293519
331.055176 -339.539344
331.055176 339.539344
332.055343 -339.784837
332.055343 339.784837
333.055509 -340.028881
333.055509 340.028881
334.055676 -340.272273
334.055676 340.272273
335.055843 -340.515339
335.055843 340.515339
336.056009 -340.758078
336.056009 340.758078
337.056176 -340.999557
337.056176 340.999557
338.056343 -341.240229
338.056343 341.240229
339.056509 -341.480580
339.056509 341.480580
340.056676 -341.720611
340.056676 341.720611
341.056843 -341.959631
341.056843 341.959631
342.057010 -342.197628
342.057010 342.197628
343.057176 -342.435309
343.057176 342.435309
344.057343 -342.672677
344.057343 342.672677
345.057510 -342.909342
345.057510 342.909342
346.057676 -343.144706
346.057676 343.144706
347.057843 -343.379762
347.057843 343.379762
348.058010 -343.614509
348.058010 343.614509
349.058176 -343.848920
349.058176 343.848920
350.058343 -344.081695
350.058343 344.081695
351.058510 -344.314167
351.058510 344.314167
352.058676 -344.546337
352.058676 344.546337
353.058843 -344.778205
353.058843 344.778205
354.059010 -345.008818
354.059010 345.008818
355.059177 -345.238749
355.059177 345.238749
356.059343 -345.468382
356.059343 345.468382
357.059510 -345.697720
357.059510 345.697720
358.059677 -345.926296
358.059677 345.926296
359.059843 -346.153725
359.059843 346.153725
360.060010 -346.380863
360.060010 346.380863
361.060177 -346.607710
361.060177 346.607710
362.060343 -346.834269
362.060343 346.834269
363.060510 -347.059309
363.060510 347.059309
364.060677 -347.283991
364.060677 347.283991
365.060843 -347.508388
365.060843 347.508388
366.061010 -347.732502
366.061010 347.732502
367.061177 -347.955709
367.061177 347.955709
368.061344 -348.177974
368.061344 348.177974
369.061510 -348.399960
369.061510 348.399960
370.061677 -348.621667
370.061677 348.621667
371.061844 -348.843095
371.061844 348.843095
372.062010 -349.063015
372.062010 349.063015
373.062177 -349.282626
373.062177 349.282626
374.062344 -349.501964
374.062344 349.501964
375.062510 -349.721029
375.062510 349.721029
376.062677 -349.939309
376.062677 349.939309
377.062844 -350.156584
377.062844 350.156584
378.063011 -350.373590
378.063011 350.373590
379.063177 -350.590329
379.063177 350.590329
380.063344 -350.806800
380.063344 350.806800
381.063511 -351.022025
381.063511 351.022025
382.063677 -351.236736
382.063677 351.236736
383.063844 -351.451184
383.063844 351.451184
384.064011 -351.665369
384.064011 351.665369
385.064177 -351.879137
385.064177 351.879137
386.064344 -352.091588
386.064344 352.091588
387.064511 -352.303780
387.064511 352.303780
388.064677 -352.515715
388.064677 352.515715
389.064844 -352.727393
389.064844 352.727393
390.065011 -352.938328
390.065011 352.938328
391.065178 -353.148300
391.065178 353.148300
392.065344 -353.358018
392.065344 353.358018
393.065511 -353.567484
393.065511 353.567484
394.065678 -353.776699
394.065678 353.776699
395.065844 -353.984919
395.065844 353.984919
396.066011 -354.192456
396.066011 354.192456
397.066178 -354.399744
397.066178 354.399744
398.066344 -354.606785
398.066344 354.606785
399.066511 -354.813580
